"","mean.growth_Before_PrEP","mean.growth_Early_HAART","mean.growth_Early_TaSP","mean.growth_Harm_reduction","mean.growth_PrEP_COVID19","mean.growth_PrEP_post-COVID19","mean.growth_PrEP_pre-COVID19","mean.growth_STOP_HIVAIDS","stdev.growth_Before_PrEP","stdev.growth_Early_HAART","stdev.growth_Early_TaSP","stdev.growth_Harm_reduction","stdev.growth_PrEP_COVID19","stdev.growth_PrEP_post-COVID19","stdev.growth_PrEP_pre-COVID19","stdev.growth_STOP_HIVAIDS","mean.growth.smooth_Before_PrEP","mean.growth.smooth_Early_HAART","mean.growth.smooth_Early_TaSP","mean.growth.smooth_Harm_reduction","mean.growth.smooth_PrEP_COVID19","mean.growth.smooth_PrEP_post-COVID19","mean.growth.smooth_PrEP_pre-COVID19","mean.growth.smooth_STOP_HIVAIDS","stdev.growth.smooth_Before_PrEP","stdev.growth.smooth_Early_HAART","stdev.growth.smooth_Early_TaSP","stdev.growth.smooth_Harm_reduction","stdev.growth.smooth_PrEP_COVID19","stdev.growth.smooth_PrEP_post-COVID19","stdev.growth.smooth_PrEP_pre-COVID19","stdev.growth.smooth_STOP_HIVAIDS","clusterID","FC.before.during.mean","FC.before.during.mean.smooth"
"11",0.0728744939271255,0.838119876859167,0.0725403319281373,0.129748861681578,NA,NA,NA,0.00378787878787879,0.138482845153741,2.07937287479561,0.140246444914027,0.261921049667318,NA,NA,NA,0.0321412173266612,0.0242914979757086,1.0027421884521,0.0879143472062447,0.129820837766196,NA,NA,NA,0.00711584443468511,0.0226925394342783,2.00893458221505,0.0407830796894506,0.0722764621526199,NA,NA,NA,0.0110940399797128,110,NA,NA
"12",0.0113636363636364,0.307692307692308,0.0699603905099261,0.502831321851186,0.0195121951219512,NA,0,0.0494360892803291,0.0556702214268904,1.92153784566105,0.156009761063384,1.06021851609533,0.0755704067552667,NA,0,0.129452172896087,0.0113636363636364,0.333333333333333,0.103865242687672,0.479131595837952,0.0016260162601626,NA,0,0.0505325805083992,0.0116080436012557,1.92399438303882,0.091889577151562,0.376738530047339,0.00629753389627222,NA,0,0.0324096002421355,175,0,0
"13",0,0.758471760797342,0.048761960874964,0.220496553736775,NA,NA,NA,0.0542587265758668,0,2.15589866798126,0.11947703794487,0.431180427266019,NA,NA,NA,0.125275827568308,0.0302003649790829,0.865060908084164,0.057786081629109,0.209390109591016,NA,NA,NA,0.0526378980012878,0.0346677839221088,2.09777458176762,0.054035286878218,0.111308280429559,NA,NA,NA,0.0296888584547708,105,NA,NA
"14",NA,0.924281842650962,0.0430173992673993,0.0627538225404641,NA,NA,NA,0.0100925147182506,NA,2.05780410612959,0.12063784230498,0.178338686935354,NA,NA,NA,0.0543498550762103,NA,1.04743134528479,0.040438034188034,0.0784423140230375,NA,NA,NA,0.0203962914013375,NA,1.96109781832252,0.0298149161484921,0.0596159291438242,NA,NA,NA,0.0219274964061869,204,NA,NA
"15",0,0.929193029193029,0.0524024382480265,0.176147057447623,0.0476190476190476,NA,0,0.00462962962962963,0,2.30950010652838,0.128238980851654,0.29805871628804,0.142857142857143,NA,0,0.0392837100659193,0,1.07839012839013,0.0627760903970581,0.211408724295311,0.00396825396825397,NA,0,0.00663709928415811,0,2.23382046159308,0.0323423177593045,0.121369928365173,0.0119047619047619,NA,0,0.0161142920732173,29,NA,NA
"16",0.235616152535489,0.818181818181818,0.0916666666666667,0.0972222222222222,0.072767721710992,0.185221678023536,0.137335075770089,0.129102379102379,0.481664831109561,2.80537517457645,0.446181593282822,0.585258392969696,0.158049952312586,0.179118991975649,0.210747338812984,0.488239416721599,0.245031476596122,0.613636363636364,0.0847222222222222,0.173611111111111,0.089858982322831,0.1224486281818,0.135716179266398,0.121445683945684,0.170447033647154,2.55385711174023,0.0937675646797612,0.193674419858866,0.0217795751839889,0.0506036267714781,0.0841490267546829,0.12090830100079,22,0.582876319353374,0.55387242958216
"17",0.0731835158305747,NA,0.516876873126873,12,0.0769230769230769,NA,0.0246197614618667,0.146156156479711,0.14583381962108,NA,1.35809494719508,NA,0.153846153846154,NA,0.0869827132303334,0.267300457634616,0.0694343425501514,NA,0.491745754245754,12,0.00641025641025641,NA,0.0364939983361036,0.173760930178234,0.0155715645761797,NA,0.560874067377468,NA,0.0128205128205128,NA,0.0175029297877524,0.124804859938156,72,0.336411296757911,0.525590032191124
"18",0.15452712123805,1,0.0227272727272727,0.315939153439153,0.0945945945945946,NA,0.0275606746194981,0.124403111153515,0.294445205091111,3.46410161513775,0.157459164324443,1.04961220057508,0.202952798667906,NA,0.0973754627377128,0.335242283830974,0.219815192164708,1.08333333333333,0.00378787878787879,0.315939153439153,0.0475654225654226,NA,0.0369575277663513,0.111873375390084,0.109954486661304,3.4498572653829,0.0183582669566781,0.242794056484666,0.0440785344802457,NA,0.022961709579324,0.12926662925631,234,0.178354934711045,0.168129997760387
"19",0.0469055474095797,0.3,0.241085609651786,0.26547619047619,NA,NA,0.0302521008403361,0.0923160244568619,0.126816743593936,1.89736659610103,0.441276339766168,0.983128004182096,NA,NA,0.100242690401338,0.2156058478017,0.0199958251873574,0.325,0.24896376091229,0.249603174603175,NA,NA,0.0408308975764219,0.102936939489542,0.0182451162700146,1.89989878272907,0.133221767286865,0.27793598381917,NA,NA,0.0220987087645592,0.0819341476969414,73,0.644957846375281,2.04197112116371
"20",0.0536170406860062,0.4,0.119099503923336,0.385455747955748,NA,NA,0,0.0637934408586582,0.144978885539217,2.19089023002066,0.277068063846923,1.02254811396356,NA,NA,NA,0.170608591080268,0.0579826463447153,0.433333333333333,0.130693706821887,0.377122414622415,NA,NA,0.0344827586206897,0.0595896132852655,0.0278973864138312,2.1922014338187,0.0587751716526776,0.234867261676669,NA,NA,NA,0.0516934414407977,177,0,0.594708258324131
