"","clusterID","size","firstDate","lastDate","medianDate","meanDate","meanCDbase","medianCDbase","meanVLbase","medianVLbase","meanAgeFARV","medianAgeFARV","meanAge2023","medianAge2023","n_RSK","n_MSM","n_HET","n_IDU","n_BLOOD","n_HCV","n_HCVrep","perc_RSK","perc_MSM","perc_HET","perc_IDU","perc_BLOOD","perc_HCV","n_seroconv_2018","n_seroconv_2022","n_PREP","perc_PREP","n_HAknown","n_HA_Van","n_HA_VanIsl","n_HA_Fras","n_HA_North","n_HA_Int","perc_HAknown","perc_HA_Van","perc_HA_VanIsl","perc_HA_Fras","perc_HA_North","perc_HA_Int","n_subB","n_subC","n_subAE","n_subF","n_subBlike","n_subBrecomb","n_subBDrecomb","active","active22","medium","big","large"
"167","27",6,2008-11-04,2013-07-12,2011-04-12,2011-02-14,253.333333333333,225,265571.166666667,107159.5,31.1666666666667,28,42.9885844748858,40.9013698630137,2,2,0,0,0,0,6,33.3333333333333,100,0,0,0,0,0,0,0,NA,6,6,0,0,0,0,100,100,0,0,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"168","60",6,1996-06-19,2004-11-15,1997-03-09,1999-02-14,362,350,97433.3333333333,33600,45.2,46,70.5791780821918,70.9479452054795,5,4,2,1,0,1,5,83.3333333333333,80,40,20,0,20,0,0,0,NA,5,3,0,2,0,0,83.3333333333333,60,0,40,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"169","68",6,1998-07-08,2008-11-26,2001-04-30,2002-02-15,243.333333333333,220,146164.333333333,30469.5,37.8333333333333,36,56.534703196347,52.8301369863014,3,3,0,1,0,1,6,50,100,0,33.3333333333333,0,16.6666666666667,0,0,0,NA,6,3,0,1,0,2,100,50,0,16.6666666666667,0,33.3333333333333,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"170","76",6,2013-08-21,2018-02-05,2015-12-04,2015-11-04,1195,480,1748919.5,41315.5,47.1666666666667,50.5,54.1502283105023,58.7780821917808,3,3,0,0,0,1,6,50,100,0,0,0,16.6666666666667,1,0,0,0,6,1,5,0,0,0,100,16.6666666666667,83.3333333333333,0,0,0,6,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"171","78",6,1996-10-21,2015-05-25,2003-10-07,2003-09-14,116,40,154439.2,110000,41.5,41.5,60.0579908675799,58.4150684931507,4,2,1,3,0,1,6,66.6666666666667,50,25,75,0,16.6666666666667,0,0,0,NA,5,2,2,0,1,0,83.3333333333333,40,40,0,20,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"172","107",6,2000-05-12,2018-12-04,2014-01-23,2013-03-08,525,500,25619.5,12760,39.8333333333333,39.5,47.2908675799087,47.8520547945205,2,2,0,0,0,0,6,33.3333333333333,100,0,0,0,0,2,0,0,0,6,6,0,0,0,0,100,100,0,0,0,0,6,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"173","123",6,1996-11-26,2006-03-29,2004-06-05,2003-08-06,383.333333333333,390,66394.1666666667,93655,37.1666666666667,38,54.6214611872146,56.5739726027397,5,4,2,2,0,3,6,83.3333333333333,80,40,40,0,50,0,0,0,NA,6,5,1,0,0,0,100,83.3333333333333,16.6666666666667,0,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"174","125",6,2004-10-19,2020-10-07,2010-11-15,2012-01-09,524.833333333333,475,1084111,54606.5,41.6666666666667,38,51.2342465753425,46.7753424657534,5,4,0,2,0,0,6,83.3333333333333,80,0,40,0,0,1,0,0,0,6,2,0,3,0,1,100,33.3333333333333,0,50,0,16.6666666666667,6,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"175","128",6,1997-01-23,2009-07-20,1998-03-05,2001-05-24,200,225,67835.6,59456,40.8333333333333,44,61.7392694063927,59.2465753424658,5,0,1,5,2,5,6,83.3333333333333,0,20,100,40,83.3333333333333,0,0,0,NA,6,2,0,3,0,1,100,33.3333333333333,0,50,0,16.6666666666667,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"176","133",6,1999-04-27,2008-07-10,2002-10-23,2003-07-07,106,70,154106.333333333,100010,51,51.5,70.5018264840183,70.2780821917808,3,0,2,3,0,3,5,50,0,66.6666666666667,100,0,60,0,0,0,NA,6,2,1,3,0,0,100,33.3333333333333,16.6666666666667,50,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"177","140",6,2011-10-04,2017-01-30,2012-07-03,2013-04-27,421.666666666667,390,36933.3333333333,25564.5,33,28.5,42.1073059360731,36.4219178082192,3,2,0,1,0,0,6,50,66.6666666666667,0,33.3333333333333,0,0,0,0,0,NA,6,0,5,0,0,1,100,0,83.3333333333333,0,0,16.6666666666667,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"178","141",6,2018-01-19,2021-08-06,2020-02-14,2019-12-10,318.833333333333,350,1377957.66666667,815000,29,26.5,32.1908675799087,30.972602739726,6,6,0,0,0,0,6,100,100,0,0,0,0,6,0,1,16.6666666666667,6,4,0,2,0,0,100,66.6666666666667,0,33.3333333333333,0,0,6,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"179","144",6,2013-08-29,2016-05-10,2013-10-02,2014-03-19,487.166666666667,451.5,108890.333333333,62980.5,35.8333333333333,35.5,43.9109589041096,42.8068493150685,3,3,0,0,0,0,5,50,100,0,0,0,0,0,0,0,NA,6,5,0,1,0,0,100,83.3333333333333,0,16.6666666666667,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"180","145",6,1997-02-27,2011-08-15,2002-04-13,2003-11-01,382,310,207612,100010,39.5,39,54.4470319634703,52.5534246575343,3,3,1,0,0,0,6,50,100,33.3333333333333,0,0,0,0,0,0,NA,6,4,0,2,0,0,100,66.6666666666667,0,33.3333333333333,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"181","148",6,1996-11-06,2003-05-10,1997-04-09,1998-04-08,354,350,161333.333333333,150000,39.2,39,65.3101369863014,65.2,5,0,1,5,0,5,5,83.3333333333333,0,20,100,0,100,0,0,0,NA,5,3,1,1,0,0,83.3333333333333,60,20,20,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"182","151",6,2005-03-10,2022-01-27,2021-02-12,2018-05-03,470.166666666667,416.5,27288.3333333333,19210,33.6666666666667,29,38.0762557077626,36.3917808219178,6,0,3,5,0,6,6,100,0,50,83.3333333333333,0,100,5,1,0,0,6,2,0,3,0,1,100,33.3333333333333,0,50,0,16.6666666666667,6,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"183","157",6,1998-06-22,2013-02-20,2008-05-14,2007-05-24,326.25,347.5,64147.5,28094,42.75,42,57.2130136986301,53.5986301369863,4,1,1,4,0,4,4,66.6666666666667,25,25,100,0,100,0,0,0,NA,4,3,0,1,0,0,66.6666666666667,75,0,25,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"184","162",6,2000-11-15,2009-07-14,2001-07-13,2003-12-13,252.333333333333,242.5,163288,64819,30,29.5,46.465296803653,46.4780821917808,4,4,1,0,0,1,6,66.6666666666667,100,25,0,0,16.6666666666667,0,0,0,NA,6,4,0,2,0,0,100,66.6666666666667,0,33.3333333333333,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
